,API_City_ID,City,Country_Code,Latitude,Longitude,Max Tempurature (F),Humidity,Cloudiness_%,Wind_(mph)
0,4850657,Cedar,US,41.21,-92.53,84.2,61,1,4.5
1,2652557,Collington,GB,52.25,-2.52,68.0,82,75,8.05
2,2813397,Weg,DE,47.7,10.6,82.4,30,0,8.05
3,258377,Ligourion,GR,37.62,23.03,82.4,34,40,12.75
4,1607097,Raman,TH,6.48,101.42,78.8,94,20,2.24
5,6534500,Peia,IT,45.8,9.9,87.8,69,75,10.29
6,2829688,Staherheide,DE,50.98,6.0,82.4,30,20,10.29
7,4063613,Fyffe,US,34.45,-85.9,87.8,54,40,4.7
8,502078,Reshetikha,RU,56.22,43.29,78.8,41,0,6.71
9,1013337,Clermont,ZA,-29.79,30.9,69.83,31,8,2.48
10,676588,Gugesti,RO,45.57,27.13,79.73,53,0,3.94
11,2779514,Fladnitz im Raabtal,AT,46.99,15.79,80.6,47,20,10.29
12,4968234,Jay,US,44.5,-70.22,71.6,77,90,4.7
13,4725484,Saint Paul,US,33.04,-96.55,80.6,88,75,9.17
14,202326,Cyangugu,RW,-2.48,28.91,73.52,69,44,3.83
15,1690088,San Felipe,PH,14.02,122.93,79.64,88,88,18.25
16,5128577,New Windsor,US,41.48,-74.02,80.6,88,90,5.82
17,6360279,Aldeaseca de Alba,ES,40.82,-5.45,86.0,33,20,10.29
18,7350985,Banjar Medura,ID,-8.69,115.25,78.8,74,20,12.75
19,683582,Bucinisu,RO,43.95,24.25,84.2,30,0,4.7
20,5163631,Mount Gilead,US,40.55,-82.83,80.6,57,40,3.36
21,3490031,Hope Bay,JM,18.2,-76.56,89.6,55,20,14.99
22,3128842,Barakaldo,ES,43.3,-2.99,78.8,50,20,11.41
23,3021931,Dachstein,FR,48.56,7.53,86.0,28,0,8.05
24,2960525,Graulinster,LU,49.73,6.29,78.8,29,0,8.05
25,6460106,Prosenik,BG,42.8,27.45,77.0,57,0,12.75
26,2517111,Granadilla de Abona,ES,28.12,-16.58,82.4,73,0,8.05
27,6553486,Frei-Laubersheim,DE,49.8,7.9,86.0,28,1,3.36
28,3047669,Nagykata,HU,47.42,19.74,87.8,32,0,8.05
29,6534359,Monastero di Vasco,IT,44.34,7.82,82.4,78,40,8.05
30,7533369,Ziębice,PL,50.59,17.04,78.8,31,0,10.29
31,1174074,Karak,PK,33.12,71.09,90.53,59,0,4.05
32,3016849,Gadencourt,FR,48.99,1.4,86.0,50,0,8.05
33,3025045,Chomerac,FR,44.71,4.66,89.6,38,0,9.17
34,2799997,Crisnee,BE,50.72,5.4,82.4,29,0,10.29
35,2161452,Kilkivan,AU,-26.08,152.23,49.94,41,0,5.95
36,3101117,Czarny Bor,PL,50.77,16.13,78.8,31,0,10.29
37,6450400,Ascain,FR,43.35,-1.62,89.6,73,75,5.82
38,6359364,Talamanca de Jarama,ES,40.74,-3.49,96.8,20,40,10.29
